algorithm,compression_ratio,budget,runtime_seconds,memory_mb,hausdorff_distance,average_pte,frechet_distance,ped,dad,sed,sad,issd,original_points,simplified_points,trajectory_id,trajectory_size,turn_preservation,stop_preservation,original_turns,preserved_turns,preservation_ratio,original_stops,preserved_stops
vw,5.033333333333333,30,0.09125947952270508,0.005705833435058594,52.58873724983718,2.9036356184551813,52.58873724983718,2.9036356184551813,61.37271548872003,62.18062938017635,2.0954166530591594,90159.81628992001,151,30,4,151,,,,,,,
vw,10.066666666666666,15,0.09364938735961914,0.005705833435058594,67.05102804403816,10.977837373658822,67.05102804403816,10.977837373658822,62.657353103248134,96.44859491774429,1.92546776580503,98847.22213934973,151,15,4,151,,,,,,,
sw,2.013333333333333,75,2.333913564682007,0.01786327362060547,74.88700922834394,0.19113259976578473,74.88700922834394,0.19113259976578473,57.97540216436536,66.32033806915867,1.9523444671418209,121240.5800573339,151,75,4,151,,,,,,,
sw,5.033333333333333,30,2.385016918182373,0.013231277465820312,126.89916764254609,1.3885351182433987,126.89916764254609,1.3885351182433987,62.8014834362657,66.66302875048756,2.287135499999346,95890.62691527056,151,30,4,151,,,,,,,
sw,10.066666666666666,15,2.39750599861145,0.011960029602050781,130.80614413735697,3.9312074892744966,130.80614413735697,3.9312074892744966,74.46202347886938,238.10370913776313,3.5885232244915444,255625.91634157667,151,15,4,151,,,,,,,
rw,2.013333333333333,75,0.0939033031463623,0.01732921600341797,9.40528986811515,1.135210370354561,21.05725523193577,1.135210370354561,54.934399361644694,57.88021401493113,1.554674645727818,103049.15821782956,151,75,4,151,,,,,,,
rw,5.206896551724138,30,0.05012774467468262,0.012754440307617188,31.094129324734283,7.553761943284499,31.094129324734283,7.553761943284499,63.08738096797759,53.91832671066823,2.2574590191832593,61287.68599658478,151,29,4,151,,,,,,,
rw,13.727272727272727,15,0.02463984489440918,0.011358261108398438,112.75246054242889,10.073433780842588,112.75246054242889,10.073433780842588,62.582993595644325,68.0039598342777,2.1305689689097758,78463.36855136344,151,11,4,151,,,,,,,
proposed,2.013333333333333,75,0.09102296829223633,0.029410362243652344,88.95819957380326,1.574535609830567,97.83812281595294,1.574535609830567,23.420353977252876,21.095284883398005,1.0405124443976532,22933.915474209774,151,75,4,151,0.8307692307692308,1.0,65.0,54.0,1.0,4.0,4.0
proposed,5.033333333333333,30,0.09821653366088867,0.02962493896484375,272.2705230196481,11.59824713418293,272.2705230196481,11.59824713418293,48.831194427518554,159.1391952719486,1.9935476007972923,135169.76628128364,151,30,4,151,0.4461538461538462,0.5,65.0,29.0,0.5,4.0,2.0
proposed,10.066666666666666,15,0.09974217414855957,0.03049182891845703,293.60859687028176,11.544022533413168,293.60859687028176,11.544022533413168,52.55282980303998,158.42054921330805,2.0333999419849627,135796.12005255852,151,15,4,151,0.6307692307692307,0.75,65.0,41.0,0.75,4.0,3.0
